
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34155.550000 2047   22 18 07.67935  114 11 25.43112        2.880        0.000        0.000    -0.008    -0.002    -0.015 3     -1.94230    0.56250  138.16240
 34155.650000 2047   22 18 07.67935  114 11 25.43111        2.880        0.000        0.000    -0.002    -0.001     0.007 3     -1.93740    0.56160  138.16150
 34155.750000 2047   22 18 07.67934  114 11 25.43111        2.880        0.000        0.000    -0.007    -0.002    -0.013 3     -1.94280    0.56010  138.16280
 34155.850000 2047   22 18 07.67934  114 11 25.43111        2.880        0.000        0.000    -0.001     0.003     0.006 3     -1.94110    0.56300  138.16180
 34155.950000 2047   22 18 07.67934  114 11 25.43111        2.880        0.000        0.000    -0.004    -0.002    -0.013 3     -1.94360    0.56480  138.16410
 34156.050000 2047   22 18 07.67934  114 11 25.43111        2.880        0.000        0.000    -0.002     0.001     0.005 3     -1.93880    0.55970  138.16080
 34156.150000 2047   22 18 07.67934  114 11 25.43111        2.880        0.000        0.000    -0.005    -0.001    -0.011 3     -1.94350    0.56310  138.16380
 34156.250000 2047   22 18 07.67934  114 11 25.43110        2.880        0.000        0.000    -0.003    -0.002     0.006 3     -1.93740    0.56020  138.16130
 34156.350000 2047   22 18 07.67934  114 11 25.43110        2.880        0.000        0.000    -0.006    -0.002    -0.013 3     -1.94380    0.56120  138.16240
 34156.450000 2047   22 18 07.67934  114 11 25.43110        2.880        0.000        0.000    -0.004    -0.002     0.007 3     -1.94090    0.56270  138.16200
 34156.550000 2047   22 18 07.67933  114 11 25.43110        2.880        0.000        0.000    -0.004    -0.002    -0.013 3     -1.94320    0.56190  138.16270
 34156.650000 2047   22 18 07.67933  114 11 25.43110        2.880        0.000        0.000    -0.003    -0.002     0.008 3     -1.94010    0.55950  138.15970
 34156.750000 2047   22 18 07.67933  114 11 25.43109        2.880        0.000        0.000    -0.010    -0.005    -0.014 3     -1.94080    0.56200  138.16010
 34156.850000 2047   22 18 07.67933  114 11 25.43109        2.879        0.000        0.000     0.005     0.003     0.012 3     -1.93850    0.56150  138.16180
 34156.950000 2047   22 18 07.67933  114 11 25.43109        2.879        0.000        0.000    -0.012    -0.005    -0.017 3     -1.94330    0.56450  138.15820
 34157.050000 2047   22 18 07.67933  114 11 25.43109        2.879        0.000        0.000    -0.005     0.001     0.012 3     -1.93830    0.55820  138.16020
 34157.150000 2047   22 18 07.67933  114 11 25.43108        2.879        0.000        0.000    -0.005     0.003    -0.015 3     -1.94200    0.56040  138.16440
 34157.250000 2047   22 18 07.67932  114 11 25.43108        2.879        0.000        0.000    -0.005    -0.001     0.008 3     -1.94060    0.56030  138.15940
 34157.350000 2047   22 18 07.67932  114 11 25.43108        2.879        0.000        0.000    -0.005     0.000    -0.013 3     -1.94340    0.55440  138.16300
 34157.450000 2047   22 18 07.67932  114 11 25.43107        2.879        0.000        0.000    -0.005    -0.008     0.012 3     -1.92720    0.55770  138.16060
 34157.550000 2047   22 18 07.67932  114 11 25.43107        2.879        0.000        0.000    -0.001     0.000    -0.017 3     -1.91710    0.55520  138.15570
 34157.650000 2047   22 18 07.67932  114 11 25.43107        2.879        0.000        0.000     0.000     0.005     0.007 3     -1.92140    0.55160  138.16160
 34157.750000 2047   22 18 07.67932  114 11 25.43106        2.879        0.000        0.000    -0.007    -0.004    -0.015 3     -1.92310    0.55990  138.15430
 34157.850000 2047   22 18 07.67931  114 11 25.43106        2.879        0.000        0.000     0.002     0.002     0.006 3     -1.90500    0.55130  138.15120
 34157.950000 2047   22 18 07.67931  114 11 25.43106        2.879        0.000        0.000    -0.010     0.002    -0.010 3     -1.90840    0.55190  138.15900
 34158.050000 2047   22 18 07.67931  114 11 25.43105        2.879        0.000        0.000     0.000     0.005    -0.004 3     -1.90200    0.54630  138.15530
 34158.150000 2047   22 18 07.67931  114 11 25.43105        2.879        0.000        0.000    -0.002    -0.004     0.008 3     -1.89670    0.54480  138.15420
 34158.250000 2047   22 18 07.67931  114 11 25.43104        2.879        0.000        0.000    -0.009    -0.004    -0.013 3     -1.88960    0.53300  138.15470
 34158.350000 2047   22 18 07.67931  114 11 25.43104        2.879        0.000        0.000     0.000     0.002     0.015 3     -1.88460    0.53560  138.15900
 34158.450000 2047   22 18 07.67931  114 11 25.43104        2.878        0.000        0.000    -0.004    -0.010    -0.020 3     -1.87700    0.53870  138.15130
